Time(min)   ;T_00mm      ;Time(min)   ;T_10mm      ;Time(min)   ;T_20mm      ;Time(min)   ;T_30mm      ;Time(min)   ;T_40mm      ;Time(min)   ;T_50mm      ;Time(min)   ;T_120mm     ;
 9.2000E+001; 3.3309E+002; 9.2000E+001; 2.9040E+002; 9.2000E+001; 2.5233E+002; 9.2000E+001; 2.1897E+002; 9.2000E+001; 1.9040E+002; 9.2000E+001; 1.6530E+002; 9.2000E+001; 7.5593E+001;
 9.3000E+001; 3.3421E+002; 9.3000E+001; 2.9162E+002; 9.3000E+001; 2.5360E+002; 9.3000E+001; 2.2027E+002; 9.3000E+001; 1.9168E+002; 9.3000E+001; 1.6660E+002; 9.3000E+001; 7.6603E+001;
 9.4000E+001; 3.3532E+002; 9.4000E+001; 2.9283E+002; 9.4000E+001; 2.5487E+002; 9.4000E+001; 2.2155E+002; 9.4000E+001; 1.9296E+002; 9.4000E+001; 1.6789E+002; 9.4000E+001; 7.7613E+001;
 9.5000E+001; 3.3643E+002; 9.5000E+001; 2.9403E+002; 9.5000E+001; 2.5613E+002; 9.5000E+001; 2.2283E+002; 9.5000E+001; 1.9423E+002; 9.5000E+001; 1.6917E+002; 9.5000E+001; 7.8623E+001;
 9.6000E+001; 3.3753E+002; 9.6000E+001; 2.9522E+002; 9.6000E+001; 2.5738E+002; 9.6000E+001; 2.2410E+002; 9.6000E+001; 1.9550E+002; 9.6000E+001; 1.7044E+002; 9.6000E+001; 7.9632E+001;
 9.7000E+001; 3.3862E+002; 9.7000E+001; 2.9640E+002; 9.7000E+001; 2.5863E+002; 9.7000E+001; 2.2537E+002; 9.7000E+001; 1.9676E+002; 9.7000E+001; 1.7171E+002; 9.7000E+001; 8.0641E+001;
 9.8000E+001; 3.3970E+002; 9.8000E+001; 2.9757E+002; 9.8000E+001; 2.5986E+002; 9.8000E+001; 2.2663E+002; 9.8000E+001; 1.9801E+002; 9.8000E+001; 1.7297E+002; 9.8000E+001; 8.1650E+001;
 9.9000E+001; 3.4078E+002; 9.9000E+001; 2.9873E+002; 9.9000E+001; 2.6109E+002; 9.9000E+001; 2.2788E+002; 9.9000E+001; 1.9925E+002; 9.9000E+001; 1.7422E+002; 9.9000E+001; 8.2658E+001;
 1.0000E+002; 3.4185E+002; 1.0000E+002; 2.9989E+002; 1.0000E+002; 2.6231E+002; 1.0000E+002; 2.2912E+002; 1.0000E+002; 2.0049E+002; 1.0000E+002; 1.7547E+002; 1.0000E+002; 8.3665E+001;
 1.0100E+002; 3.4291E+002; 1.0100E+002; 3.0104E+002; 1.0100E+002; 2.6352E+002; 1.0100E+002; 2.3036E+002; 1.0100E+002; 2.0172E+002; 1.0100E+002; 1.7671E+002; 1.0100E+002; 8.4671E+001;
