Time(min)   ;HYD_00mm    ;Time(min)   ;HYD_10mm    ;Time(min)   ;HYD_20mm    ;Time(min)   ;HYD_30mm    ;Time(min)   ;HYD_40mm    ;Time(min)   ;HYD_50mm    ;Time(min)   ;HYD_120mm   ;
 6.5000E+001; 8.9557E-001; 6.5000E+001; 8.8773E-001; 6.5000E+001; 8.9073E-001; 6.5000E+001; 8.5896E-001; 6.5000E+001; 8.2811E-001; 6.5000E+001; 8.1743E-001; 6.5000E+001; 8.9341E-001;
 6.6000E+001; 8.9565E-001; 6.6000E+001; 8.8779E-001; 6.6000E+001; 8.9094E-001; 6.6000E+001; 8.6119E-001; 6.6000E+001; 8.2872E-001; 6.6000E+001; 8.1760E-001; 6.6000E+001; 8.9341E-001;
 6.7000E+001; 8.9574E-001; 6.7000E+001; 8.8786E-001; 6.7000E+001; 8.9113E-001; 6.7000E+001; 8.6349E-001; 6.7000E+001; 8.2936E-001; 6.7000E+001; 8.1778E-001; 6.7000E+001; 8.9341E-001;
 6.8000E+001; 8.9582E-001; 6.8000E+001; 8.8793E-001; 6.8000E+001; 8.9130E-001; 6.8000E+001; 8.6585E-001; 6.8000E+001; 8.3006E-001; 6.8000E+001; 8.1797E-001; 6.8000E+001; 8.9341E-001;
 6.9000E+001; 8.9591E-001; 6.9000E+001; 8.8799E-001; 6.9000E+001; 8.9145E-001; 6.9000E+001; 8.6825E-001; 6.9000E+001; 8.3081E-001; 6.9000E+001; 8.1818E-001; 6.9000E+001; 8.9341E-001;
 7.0000E+001; 8.9600E-001; 7.0000E+001; 8.8806E-001; 7.0000E+001; 8.9160E-001; 7.0000E+001; 8.7066E-001; 7.0000E+001; 8.3161E-001; 7.0000E+001; 8.1840E-001; 7.0000E+001; 8.9341E-001;
 7.1000E+001; 8.9609E-001; 7.1000E+001; 8.8813E-001; 7.1000E+001; 8.9174E-001; 7.1000E+001; 8.7307E-001; 7.1000E+001; 8.3247E-001; 7.1000E+001; 8.1864E-001; 7.1000E+001; 8.9341E-001;
 7.2000E+001; 8.9618E-001; 7.2000E+001; 8.8820E-001; 7.2000E+001; 8.9187E-001; 7.2000E+001; 8.7545E-001; 7.2000E+001; 8.3339E-001; 7.2000E+001; 8.1890E-001; 7.2000E+001; 8.9341E-001;
 7.3000E+001; 8.9627E-001; 7.3000E+001; 8.8827E-001; 7.3000E+001; 8.9199E-001; 7.3000E+001; 8.7777E-001; 7.3000E+001; 8.3437E-001; 7.3000E+001; 8.1918E-001; 7.3000E+001; 8.9341E-001;
 7.4000E+001; 8.9636E-001; 7.4000E+001; 8.8834E-001; 7.4000E+001; 8.9211E-001; 7.4000E+001; 8.8001E-001; 7.4000E+001; 8.3542E-001; 7.4000E+001; 8.1947E-001; 7.4000E+001; 8.9341E-001;
 7.5000E+001; 8.9646E-001; 7.5000E+001; 8.8841E-001; 7.5000E+001; 8.9222E-001; 7.5000E+001; 8.8216E-001; 7.5000E+001; 8.3653E-001; 7.5000E+001; 8.1979E-001; 7.5000E+001; 8.9341E-001;
