Time(min)   ;T_00mm      ;Time(min)   ;T_10mm      ;Time(min)   ;T_20mm      ;Time(min)   ;T_30mm      ;Time(min)   ;T_40mm      ;Time(min)   ;T_50mm      ;Time(min)   ;T_120mm     ;
 6.2000E+001; 2.9470E+002; 6.2000E+001; 2.4295E+002; 6.2000E+001; 2.0026E+002; 6.2000E+001; 1.6506E+002; 6.2000E+001; 1.3505E+002; 6.2000E+001; 1.1002E+002; 6.2000E+001; 3.7349E+001;
 6.3000E+001; 2.9624E+002; 6.3000E+001; 2.4462E+002; 6.3000E+001; 2.0188E+002; 6.3000E+001; 1.6669E+002; 6.3000E+001; 1.3663E+002; 6.3000E+001; 1.1151E+002; 6.3000E+001; 3.8055E+001;
 6.4000E+001; 2.9776E+002; 6.4000E+001; 2.4627E+002; 6.4000E+001; 2.0349E+002; 6.4000E+001; 1.6830E+002; 6.4000E+001; 1.3819E+002; 6.4000E+001; 1.1298E+002; 6.4000E+001; 3.8767E+001;
 6.5000E+001; 2.9926E+002; 6.5000E+001; 2.4790E+002; 6.5000E+001; 2.0508E+002; 6.5000E+001; 1.6989E+002; 6.5000E+001; 1.3974E+002; 6.5000E+001; 1.1444E+002; 6.5000E+001; 3.9487E+001;
 6.6000E+001; 3.0074E+002; 6.6000E+001; 2.4950E+002; 6.6000E+001; 2.0665E+002; 6.6000E+001; 1.7147E+002; 6.6000E+001; 1.4128E+002; 6.6000E+001; 1.1590E+002; 6.6000E+001; 4.0214E+001;
 6.7000E+001; 3.0220E+002; 6.7000E+001; 2.5109E+002; 6.7000E+001; 2.0821E+002; 6.7000E+001; 1.7302E+002; 6.7000E+001; 1.4280E+002; 6.7000E+001; 1.1734E+002; 6.7000E+001; 4.0947E+001;
 6.8000E+001; 3.0364E+002; 6.8000E+001; 2.5265E+002; 6.8000E+001; 2.0975E+002; 6.8000E+001; 1.7456E+002; 6.8000E+001; 1.4430E+002; 6.8000E+001; 1.1877E+002; 6.8000E+001; 4.1686E+001;
 6.9000E+001; 3.0507E+002; 6.9000E+001; 2.5419E+002; 6.9000E+001; 2.1128E+002; 6.9000E+001; 1.7608E+002; 6.9000E+001; 1.4580E+002; 6.9000E+001; 1.2019E+002; 6.9000E+001; 4.2431E+001;
 7.0000E+001; 3.0647E+002; 7.0000E+001; 2.5572E+002; 7.0000E+001; 2.1280E+002; 7.0000E+001; 1.7759E+002; 7.0000E+001; 1.4728E+002; 7.0000E+001; 1.2160E+002; 7.0000E+001; 4.3181E+001;
 7.1000E+001; 3.0786E+002; 7.1000E+001; 2.5723E+002; 7.1000E+001; 2.1431E+002; 7.1000E+001; 1.7907E+002; 7.1000E+001; 1.4874E+002; 7.1000E+001; 1.2301E+002; 7.1000E+001; 4.3936E+001;
 7.2000E+001; 3.0923E+002; 7.2000E+001; 2.5871E+002; 7.2000E+001; 2.1580E+002; 7.2000E+001; 1.8055E+002; 7.2000E+001; 1.5020E+002; 7.2000E+001; 1.2440E+002; 7.2000E+001; 4.4696E+001;
 7.3000E+001; 3.1058E+002; 7.3000E+001; 2.6018E+002; 7.3000E+001; 2.1728E+002; 7.3000E+001; 1.8200E+002; 7.3000E+001; 1.5164E+002; 7.3000E+001; 1.2578E+002; 7.3000E+001; 4.5461E+001;
 7.4000E+001; 3.1192E+002; 7.4000E+001; 2.6164E+002; 7.4000E+001; 2.1875E+002; 7.4000E+001; 1.8344E+002; 7.4000E+001; 1.5306E+002; 7.4000E+001; 1.2716E+002; 7.4000E+001; 4.6230E+001;
 7.5000E+001; 3.1325E+002; 7.5000E+001; 2.6307E+002; 7.5000E+001; 2.2020E+002; 7.5000E+001; 1.8487E+002; 7.5000E+001; 1.5448E+002; 7.5000E+001; 1.2852E+002; 7.5000E+001; 4.7002E+001;
 7.6000E+001; 3.1455E+002; 7.6000E+001; 2.6450E+002; 7.6000E+001; 2.2165E+002; 7.6000E+001; 1.8628E+002; 7.6000E+001; 1.5588E+002; 7.6000E+001; 1.2987E+002; 7.6000E+001; 4.7779E+001;
 7.7000E+001; 3.1585E+002; 7.7000E+001; 2.6590E+002; 7.7000E+001; 2.2308E+002; 7.7000E+001; 1.8768E+002; 7.7000E+001; 1.5728E+002; 7.7000E+001; 1.3122E+002; 7.7000E+001; 4.8559E+001;
 7.8000E+001; 3.1713E+002; 7.8000E+001; 2.6729E+002; 7.8000E+001; 2.2450E+002; 7.8000E+001; 1.8907E+002; 7.8000E+001; 1.5866E+002; 7.8000E+001; 1.3256E+002; 7.8000E+001; 4.9342E+001;
 7.9000E+001; 3.1839E+002; 7.9000E+001; 2.6867E+002; 7.9000E+001; 2.2591E+002; 7.9000E+001; 1.9044E+002; 7.9000E+001; 1.6003E+002; 7.9000E+001; 1.3389E+002; 7.9000E+001; 5.0129E+001;
 8.0000E+001; 3.1965E+002; 8.0000E+001; 2.7003E+002; 8.0000E+001; 2.2730E+002; 8.0000E+001; 1.9180E+002; 8.0000E+001; 1.6139E+002; 8.0000E+001; 1.3521E+002; 8.0000E+001; 5.0918E+001;
 8.1000E+001; 3.2089E+002; 8.1000E+001; 2.7138E+002; 8.1000E+001; 2.2869E+002; 8.1000E+001; 1.9315E+002; 8.1000E+001; 1.6273E+002; 8.1000E+001; 1.3652E+002; 8.1000E+001; 5.1711E+001;
 8.2000E+001; 3.2212E+002; 8.2000E+001; 2.7272E+002; 8.2000E+001; 2.3006E+002; 8.2000E+001; 1.9449E+002; 8.2000E+001; 1.6407E+002; 8.2000E+001; 1.3782E+002; 8.2000E+001; 5.2505E+001;
 8.3000E+001; 3.2334E+002; 8.3000E+001; 2.7404E+002; 8.3000E+001; 2.3142E+002; 8.3000E+001; 1.9581E+002; 8.3000E+001; 1.6540E+002; 8.3000E+001; 1.3912E+002; 8.3000E+001; 5.3303E+001;
 8.4000E+001; 3.2454E+002; 8.4000E+001; 2.7535E+002; 8.4000E+001; 2.3277E+002; 8.4000E+001; 1.9713E+002; 8.4000E+001; 1.6672E+002; 8.4000E+001; 1.4040E+002; 8.4000E+001; 5.4102E+001;
 8.5000E+001; 3.2574E+002; 8.5000E+001; 2.7665E+002; 8.5000E+001; 2.3411E+002; 8.5000E+001; 1.9844E+002; 8.5000E+001; 1.6802E+002; 8.5000E+001; 1.4168E+002; 8.5000E+001; 5.4904E+001;
 8.6000E+001; 3.2692E+002; 8.6000E+001; 2.7793E+002; 8.6000E+001; 2.3544E+002; 8.6000E+001; 1.9973E+002; 8.6000E+001; 1.6932E+002; 8.6000E+001; 1.4295E+002; 8.6000E+001; 5.5708E+001;
 8.7000E+001; 3.2809E+002; 8.7000E+001; 2.7920E+002; 8.7000E+001; 2.3676E+002; 8.7000E+001; 2.0102E+002; 8.7000E+001; 1.7061E+002; 8.7000E+001; 1.4422E+002; 8.7000E+001; 5.6513E+001;
 8.8000E+001; 3.2925E+002; 8.8000E+001; 2.8047E+002; 8.8000E+001; 2.3807E+002; 8.8000E+001; 2.0230E+002; 8.8000E+001; 1.7189E+002; 8.8000E+001; 1.4547E+002; 8.8000E+001; 5.7321E+001;
 8.9000E+001; 3.3040E+002; 8.9000E+001; 2.8172E+002; 8.9000E+001; 2.3936E+002; 8.9000E+001; 2.0357E+002; 8.9000E+001; 1.7316E+002; 8.9000E+001; 1.4672E+002; 8.9000E+001; 5.8130E+001;
 9.0000E+001; 3.3155E+002; 9.0000E+001; 2.8295E+002; 9.0000E+001; 2.4065E+002; 9.0000E+001; 2.0483E+002; 9.0000E+001; 1.7442E+002; 9.0000E+001; 1.4796E+002; 9.0000E+001; 5.8940E+001;
 9.1000E+001; 3.3268E+002; 9.1000E+001; 2.8418E+002; 9.1000E+001; 2.4193E+002; 9.1000E+001; 2.0609E+002; 9.1000E+001; 1.7567E+002; 9.1000E+001; 1.4920E+002; 9.1000E+001; 5.9752E+001;
